timestamp,event,label
2026-01-01 00:00:10,Start camera,0
2026-01-01 00:00:14,Camera offline,1
2026-01-01 00:00:16,Start camera,0
2026-01-01 00:00:19,Motion detected,0
2026-01-01 00:00:20,Low battery,0
2026-01-01 00:00:24,Stop camera,0
2026-01-01 00:00:31,Door opened,0
2026-01-01 00:00:38,Start camera,0
2026-01-01 00:00:48,Stop camera,0
2026-01-01 00:00:56,Signal lost,0
2026-01-01 00:01:04,Door closed,0
2026-01-01 00:01:10,Start camera,0
2026-01-01 00:01:13,Motion detected,0
2026-01-01 00:01:23,Door closed,0
2026-01-01 00:01:33,Start camera,0
2026-01-01 00:01:41,Stop camera,0
2026-01-01 00:01:47,Low battery,0
2026-01-01 00:01:49,Signal lost,0
2026-01-01 00:01:51,Low battery,0
2026-01-01 00:01:54,Door closed,0
2026-01-01 00:02:01,Start camera,0
2026-01-01 00:02:04,Door opened,0
2026-01-01 00:02:08,Start camera,0
2026-01-01 00:02:12,Stop camera,0
2026-01-01 00:02:15,Low battery,0
2026-01-01 00:02:23,Low battery,0
2026-01-01 00:02:24,Low battery,0
2026-01-01 00:02:25,Motion detected,0
2026-01-01 00:02:28,Signal lost,0
2026-01-01 00:02:37,Signal lost,0
2026-01-01 00:02:42,Door opened,0
2026-01-01 00:02:45,Door closed,0
2026-01-01 00:02:51,Low battery,0
2026-01-01 00:02:56,Low battery,0
2026-01-01 00:02:59,Tamper detected,1
2026-01-01 00:03:01,Start camera,0
2026-01-01 00:03:04,Signal lost,0
2026-01-01 00:03:07,Start camera,0
2026-01-01 00:03:11,Door closed,0
2026-01-01 00:03:13,Signal lost,0
2026-01-01 00:03:20,Start camera,0
2026-01-01 00:03:29,Signal lost,0
2026-01-01 00:03:36,Door opened,0
2026-01-01 00:03:38,Stop camera,0
2026-01-01 00:03:44,Tamper detected,1
2026-01-01 00:03:49,Start camera,0
2026-01-01 00:03:50,Door closed,0
2026-01-01 00:03:58,Motion detected,0
2026-01-01 00:04:02,Stop camera,0
2026-01-01 00:04:08,Low battery,0
2026-01-01 00:04:13,Stop camera,0
2026-01-01 00:04:23,Motion detected,0
2026-01-01 00:04:30,Low battery,0
2026-01-01 00:04:40,Low battery,0
2026-01-01 00:04:46,Start camera,0
2026-01-01 00:04:49,Signal lost,0
2026-01-01 00:04:54,Low battery,0
2026-01-01 00:05:01,Stop camera,0
2026-01-01 00:05:11,Door opened,0
2026-01-01 00:05:20,Door opened,0
2026-01-01 00:05:28,Door opened,0
2026-01-01 00:05:33,Door opened,0
2026-01-01 00:05:36,Unauthorized access,1
2026-01-01 00:05:39,Stop camera,0
2026-01-01 00:05:40,Stop camera,0
2026-01-01 00:05:46,Motion detected,0
2026-01-01 00:05:56,Signal lost,0
2026-01-01 00:06:03,Start camera,0
2026-01-01 00:06:06,Low battery,0
2026-01-01 00:06:14,Door opened,0
2026-01-01 00:06:17,Tamper detected,1
2026-01-01 00:06:19,Low battery,0
2026-01-01 00:06:29,Door opened,0
2026-01-01 00:06:38,Start camera,0
2026-01-01 00:06:46,Low battery,0
2026-01-01 00:06:54,Camera offline,1
2026-01-01 00:07:01,Unauthorized access,1
2026-01-01 00:07:11,Tamper detected,1
2026-01-01 00:07:15,Low battery,0
2026-01-01 00:07:16,Stop camera,0
2026-01-01 00:07:23,Door closed,0
2026-01-01 00:07:28,Door closed,0
2026-01-01 00:07:37,Start camera,0
2026-01-01 00:07:42,Start camera,0
